Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2024-01-25,8964.111328125,19398.1796875,5521.60498046875,4868.5654296875,5424.01416015625,14770.0,3750.823486328125,4253.822265625,4730.02294921875,11180.76953125
2024-01-26,8822.572265625,19547.013671875,5396.68212890625,4780.44677734375,5445.62353515625,14797.5,3750.823486328125,4274.880859375,4751.9208984375,11229.8076171875
2024-01-27,8822.572265625,19547.013671875,5396.68212890625,4780.44677734375,5445.62353515625,14797.5,3750.823486328125,4274.880859375,4751.9208984375,11229.8076171875
2024-01-28,8822.572265625,19547.013671875,5396.68212890625,4780.44677734375,5445.62353515625,14797.5,3750.823486328125,4274.880859375,4751.9208984375,11229.8076171875
2024-01-29,9011.291015625,19547.013671875,5496.62060546875,4912.625,5596.89111328125,14750.0,3779.09619140625,4152.74072265625,4883.31005859375,11180.76953125
2024-01-30,9105.650390625,19547.013671875,5446.6513671875,4956.68408203125,5748.158203125,14345.0,3769.671875,4295.9384765625,4949.00537109375,11009.134765625
2024-01-31,9011.291015625,19547.013671875,5396.68212890625,5022.7734375,5748.158203125,14422.5,3731.97509765625,4316.99755859375,5036.59814453125,11548.5576171875
2024-02-01,9152.8291015625,19571.8203125,5446.6513671875,5066.83251953125,5661.7197265625,14400.0,3807.36865234375,4316.99755859375,5014.69970703125,11352.4033203125
2024-02-02,9152.8291015625,19596.626953125,5471.6357421875,5154.95166015625,5769.76806640625,14352.5,3760.247802734375,4485.46533203125,5058.49658203125,11352.4033203125
2024-02-03,9152.8291015625,19596.626953125,5471.6357421875,5154.95166015625,5769.76806640625,14352.5,3760.247802734375,4485.46533203125,5058.49658203125,11352.4033203125
2024-02-04,9152.8291015625,19596.626953125,5471.6357421875,5154.95166015625,5769.76806640625,14352.5,3760.247802734375,4485.46533203125,5058.49658203125,11352.4033203125
2024-02-05,9034.880859375,19547.013671875,5396.68212890625,5088.8623046875,5899.42529296875,12500.0,3750.823486328125,4359.1142578125,5036.59814453125,11254.3271484375
2024-02-06,9082.060546875,19522.208984375,5421.66650390625,5132.921875,5921.03515625,12000.0,3750.823486328125,4422.2900390625,5058.49658203125,11303.365234375
2024-02-07,9152.8291015625,19522.208984375,5196.8046875,5154.95166015625,6007.4736328125,12000.0,3750.823486328125,4485.46533203125,5036.59814453125,11205.2880859375
2024-02-08,9152.8291015625,19522.208984375,5196.8046875,5154.95166015625,6007.4736328125,12000.0,3750.823486328125,4485.46533203125,5036.59814453125,11205.2880859375
2024-02-09,9152.8291015625,19522.208984375,5196.8046875,5154.95166015625,6007.4736328125,12000.0,3750.823486328125,4485.46533203125,5036.59814453125,11205.2880859375
2024-02-10,9152.8291015625,19522.208984375,5196.8046875,5154.95166015625,6007.4736328125,12000.0,3750.823486328125,4485.46533203125,5036.59814453125,11205.2880859375
2024-02-11,9152.8291015625,19522.208984375,5196.8046875,5154.95166015625,6007.4736328125,12000.0,3750.823486328125,4485.46533203125,5036.59814453125,11205.2880859375
2024-02-12,9247.1884765625,19547.013671875,5096.8662109375,5309.15966796875,6137.13134765625,12050.0,3769.671875,4464.4072265625,5211.7841796875,11425.9609375
2024-02-13,9176.4189453125,19522.208984375,4097.48046875,5287.1298828125,6072.30224609375,12050.0,3750.823486328125,4380.1728515625,5146.08935546875,11156.25
2024-02-14,9176.4189453125,19522.208984375,4097.48046875,5287.1298828125,6072.30224609375,12050.0,3750.823486328125,4380.1728515625,5146.08935546875,11156.25
2024-02-15,9294.3681640625,19547.013671875,4047.511474609375,5397.27880859375,6223.56982421875,12050.0,3797.9443359375,4316.99755859375,5255.58056640625,11425.9609375
2024-02-16,9388.7275390625,19373.373046875,4617.1611328125,5419.30859375,6223.56982421875,12850.0,3920.458740234375,4380.1728515625,5255.58056640625,11229.8076171875
